CODE,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,result,first_party,second_party
E14001004,E12000008,Tunbridge Wells,Kent,South East,England,County,Gregory,Clark,Male,Con hold,Con,LD
E14001005,E12000007,Twickenham,London,London,England,Borough,Munira,Wilson,Female,LD hold,LD,Con
E14001006,E12000001,Tynemouth,Tyne and Wear,North East,England,Borough,Alan,Campbell,Male,Lab hold,Lab,Con
N06000017,N92000002,Upper Bann,Northern Ireland,Northern Ireland,Northern Ireland,County,Carla,Lockhart,Female,DUP hold,DUP,SF
E14001007,E12000007,Uxbridge and South Ruislip,London,London,England,Borough,Boris,Johnson,Male,Con hold,Con,Lab
W07000060,W92000004,Vale Of Clwyd,Clwyd,Wales,Wales,County,James,Davies,Male,Con gain from Lab,Con,Lab
W07000078,W92000004,Vale Of Glamorgan,South Glamorgan,Wales,Wales,County,Alun,Cairns,Male,Con hold,Con,Lab
E14001008,E12000007,Vauxhall,London,London,England,Borough,Florence,Eshalomi,Female,Lab hold,Lab,LD
E14001009,E12000003,Wakefield,West Yorkshire,Yorkshire and The Humber,England,County,Imran,Ahmad Khan,Male,Con gain from Lab,Con,Lab
E14001010,E12000002,Wallasey,Merseyside,North West,England,Borough,Angela,Eagle,Female,Lab hold,Lab,Con
E14001011,E12000005,Walsall North,West Midlands,West Midlands,England,Borough,Eddie,Hughes,Male,Con hold,Con,Lab
E14001012,E12000005,Walsall South,West Midlands,West Midlands,England,Borough,Valerie,Vaz,Female,Lab hold,Lab,Con
E14001013,E12000007,Walthamstow,London,London,England,County,Stella,Creasy,Female,Lab hold,Lab,Con
E14001014,E12000001,Wansbeck,Northumberland,North East,England,County,Ian,Lavery,Male,Lab hold,Lab,Con
E14001015,E12000008,Wantage,Oxfordshire,South East,England,County,David,Johnston,Male,Con hold,Con,LD
E14001016,E12000005,Warley,West Midlands,West Midlands,England,Borough,John,Spellar,Male,Lab hold,Lab,Con
E14001017,E12000002,Warrington North,Cheshire,North West,England,Borough,Charlotte,Nichols,Female,Lab hold,Lab,Con
E14001018,E12000002,Warrington South,Cheshire,North West,England,Borough,Andy,Carter,Male,Con gain from Lab,Con,Lab
E14001019,E12000005,Warwick and Leamington,Warwickshire,West Midlands,England,Borough,Matt,Western,Male,Lab hold,Lab,Con
E14001020,E12000001,Washington and Sunderland West,Tyne and Wear,North East,England,Borough,Sharon,Hodgson,Female,Lab hold,Lab,Con
E14001021,E12000006,Watford,Hertfordshire,East,England,Borough,Dean,Russell,Male,Con hold,Con,Lab
E14001022,E12000006,Waveney,Suffolk,East,England,County,Peter,Aldous,Male,Con hold,Con,Lab
